"","date","allMean","sd"
"178","2017-07-16",-0.0593111,0.411369911863751
"188","2017-07-17",0.0280794,0.416220217595974
"186","2017-07-18",-0.0409221,0.360869246156541
"183","2017-07-19",-0.0413325,0.412462165699777
"184","2017-07-20",0.0019495,0.413225516007603
"187","2017-07-21",0.0111421,0.436183929435267
"185","2017-07-22",-0.0385515,0.43571701254111
"189","2017-07-23",-0.0076187,0.441977185474895
"194","2017-07-24",-0.0773553,0.445179552643549
"193","2017-07-25",-0.0303542,0.432148223902818
"195","2017-07-26",-0.0859042,0.453560317931761
"191","2017-07-27",-0.0484967,0.448155009677578
"196","2017-07-28",-0.0573191,0.437388923848318
"190","2017-07-29",-0.0687968,0.422054497961768
"192","2017-07-30",-0.007631,0.421513751375919
"202","2017-07-31",-0.0831603,0.423848203858303
"199","2017-08-01",-0.0470389,0.43691856572683
"197","2017-08-02",-0.0503032,0.436028035440108
"198","2017-08-03",0.0800888,0.436558914299731
"203","2017-08-04",-0.0393753,0.418299355701046
"200","2017-08-05",-0.011627,0.409456305008239
"201","2017-08-06",-0.0880904,0.446758959157889
"207","2017-08-07",-0.0362731,0.438923258333834
"209","2017-08-08",-0.1831061,0.481255899904396
"208","2017-08-09",-0.0810914,0.427948219982325
"205","2017-08-10",0.0035364,0.469639057548496
"206","2017-08-11",-0.0891754,0.409826433035791
"210","2017-08-12",-0.2370158,0.511642602614716
"204","2017-08-13",-0.1863964,0.458292575727602
"217","2017-08-14",-0.1860244,0.45759067110753
"215","2017-08-15",-0.131031,0.489726292635999
"216","2017-08-16",-0.0997583,0.442830423470554
"213","2017-08-17",-0.0791491,0.462144695781732
"214","2017-08-18",-0.0837247,0.436375645745624
"211","2017-08-19",-0.075858,0.456129339920159
"212","2017-08-20",-0.0563391,0.448243553596915
"221","2017-08-21",-0.0431901,0.427839974233346
"223","2017-08-22",-0.0525021,0.439216834087208
"222","2017-08-23",-0.060236,0.453788893015243
"224","2017-08-24",-0.0821351,0.454855899486848
"219","2017-08-25",-0.0680896,0.440161956411319
"220","2017-08-26",-0.0365133,0.431976512038687
"218","2017-08-27",-0.0488204,0.414129117961826
"229","2017-08-28",-0.0365006,0.414534659660251
"227","2017-08-29",0.0090005,0.471583519103191
"230","2017-08-30",-0.0721161,0.425413762860101
"225","2017-08-31",-0.0382028,0.434617647124642
"228","2017-09-01",-0.000443000000000001,0.426632578492313
"226","2017-09-02",0.0124039,0.456470625336166
"231","2017-09-03",-0.0132467,0.441955698106846
"237","2017-09-04",-0.0970657,0.4366962766426
"232","2017-09-05",-0.0683928,0.441425147548438
"238","2017-09-06",-0.1181366,0.45140854741624
"234","2017-09-07",-0.0759441,0.458235407367425
"235","2017-09-08",-0.065887,0.424797542166854
"236","2017-09-09",-0.0376824,0.416400841053713
"233","2017-09-10",-0.0487344,0.418821550874164
"239","2017-09-11",-0.0798873,0.397214977447616
"244","2017-09-12",-0.001253,0.444057666695442
"240","2017-09-13",-0.0603004,0.435169227680267
"243","2017-09-14",-0.0831068,0.421464520729515
"245","2017-09-15",-0.1023646,0.456752660842649
"241","2017-09-16",-0.0680166,0.446988436298345
"242","2017-09-17",-0.0334651,0.485070003661317
"251","2017-09-18",0.0268284,0.42891020082698
"252","2017-09-19",-0.0402188,0.451124438737872
"248","2017-09-20",-0.0340701,0.450143538502987
"246","2017-09-21",-0.018061,0.428177103917293
"249","2017-09-22",-0.042927,0.418785939867852
"247","2017-09-23",-0.0428861,0.450750604277787
"250","2017-09-24",-0.126491,0.46109262036927
"257","2017-09-25",-0.1170391,0.449030050220684
"255","2017-09-26",-0.0194429,0.430318398525545
"254","2017-09-27",-0.1433416,0.435285697065089
"259","2017-09-28",-0.0269905,0.464897413264206
"258","2017-09-29",-0.0582569,0.432567058191432
"256","2017-09-30",-0.1369403,0.438330489272546
"253","2017-10-01",-0.1076235,0.462386000996732
"264","2017-10-02",-0.1808636,0.463747068837141
"262","2017-10-03",-0.1127201,0.463481692007343
"266","2017-10-04",-0.0626119,0.43472862508511
"260","2017-10-05",-0.0258471,0.426609522621788
"265","2017-10-06",-0.0768824,0.415795369899955
"261","2017-10-07",-0.1291894,0.4598508143166
"263","2017-10-08",-0.00188780000000001,0.453741225359962
"267","2017-10-09",-0.1004231,0.446866455170211
"273","2017-10-10",-0.1664587,0.434434165028845
"272","2017-10-11",-0.0536157,0.449666159104185
"271","2017-10-12",-0.1100717,0.440223297440185
"270","2017-10-13",-0.1007394,0.431877868392952
"268","2017-10-14",-0.0884302,0.444935865791869
"269","2017-10-15",-0.0846249,0.467396557892749
"275","2017-10-16",-0.1458704,0.466080364040194
"280","2017-10-17",-0.0875665,0.466322524255209
"274","2017-10-18",-0.1479008,0.409736538862914
"276","2017-10-19",-0.1279799,0.433151026786258
"278","2017-10-20",-0.0614071,0.441521713621867
"277","2017-10-21",-0.0443698,0.452572392074417
"279","2017-10-22",-0.067798,0.441345626777926
"281","2017-10-23",-0.1265638,0.469837436407062
"287","2017-10-24",-0.0647378,0.40308891764865
"285","2017-10-25",-0.0622345,0.425863729448459
"286","2017-10-26",-0.0682274,0.418266198286737
"283","2017-10-27",-0.0394081,0.43328528297692
"284","2017-10-28",-0.0408079,0.433514104323712
"282","2017-10-29",-0.0864054,0.427748659320915
"293","2017-10-30",-0.0490836,0.427138237659707
"288","2017-10-31",-0.0499127,0.458745514712362
"292","2017-11-01",-0.1003554,0.469760765125016
"289","2017-11-02",-0.0757937,0.427160186359064
"290","2017-11-03",-0.0381611,0.415438892975598
"294","2017-11-04",-0.0035815,0.412523050856252
"291","2017-11-05",-0.0349381,0.414434139952767
"297","2017-11-06",-0.1006442,0.435007378910243
"298","2017-11-07",0.0141636,0.449519909030779
"299","2017-11-08",0.0214043,0.44197646142245
"296","2017-11-09",-0.0195846,0.428177618988709
"301","2017-11-10",-0.0327379,0.439292837380249
"300","2017-11-11",-0.0591714,0.477089462367426
"295","2017-11-12",0.0258082,0.426465160678759
"307","2017-11-13",-0.0033015,0.425107861122033
"305","2017-11-14",-0.0475946,0.410774735482649
"308","2017-11-15",-0.0560361,0.42450989595861
"303","2017-11-16",-0.081323,0.460961506973196
"304","2017-11-17",-0.0913938,0.420443384299908
"306","2017-11-18",-0.0323979,0.429905370454464
"302","2017-11-19",-0.1047561,0.427623972881304
"310","2017-11-20",-0.058037,0.471644964322741
"312","2017-11-21",-0.0681805,0.427256118586674
"315","2017-11-22",-0.0112509,0.459380328136926
"314","2017-11-23",0.1027508,0.442770479186858
"309","2017-11-24",-0.0439133,0.443841862641538
"313","2017-11-25",-0.0226561,0.439079722923742
"311","2017-11-26",-0.0120454,0.429668397789318
