president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Donald Trump,Adults,4/29/2018,39.13266,42.79609,35.46922,54.52254,58.97005,50.07502,4/30/2018 9:40
Donald Trump,Voters,4/29/2018,42.05209,46.33183,37.77235,53.37514,56.8462,49.90408,4/30/2018 9:40
Donald Trump,All polls,4/29/2018,40.37253,44.99648,35.74857,53.95501,58.05793,49.85208,4/30/2018 9:39
Donald Trump,Adults,4/28/2018,39.13266,42.79609,35.46922,54.52254,58.97005,50.07502,4/28/2018 13:09
Donald Trump,Voters,4/28/2018,42.05209,46.33183,37.77235,53.37514,56.8462,49.90408,4/28/2018 13:09
Donald Trump,All polls,4/28/2018,40.37253,44.99648,35.74857,53.95501,58.05793,49.85208,4/28/2018 13:09
Donald Trump,Voters,4/27/2018,42.23556,46.56566,37.90546,53.18722,56.6244,49.75004,4/27/2018 9:41
Donald Trump,Adults,4/27/2018,39.42226,43.14781,35.69671,54.15064,58.64228,49.65901,4/27/2018 9:41
Donald Trump,All polls,4/27/2018,40.59867,45.23362,35.96373,53.73807,57.81954,49.6566,4/27/2018 9:41
Donald Trump,Adults,4/26/2018,39.42226,43.14781,35.69671,54.15064,58.64228,49.65901,4/26/2018 17:15
Donald Trump,Voters,4/26/2018,42.22429,46.52462,37.92395,53.21845,56.6489,49.78799,4/26/2018 17:15
Donald Trump,All polls,4/26/2018,40.59169,45.18468,35.99869,53.74832,57.82174,49.6749,4/26/2018 17:15
Donald Trump,Voters,4/25/2018,42.11814,46.45359,37.78269,53.1568,56.6129,49.7007,4/25/2018 18:19
Donald Trump,Adults,4/25/2018,39.29548,42.77197,35.81899,54.25216,58.77565,49.72866,4/25/2018 18:19
Donald Trump,All polls,4/25/2018,40.51619,45.10563,35.92674,53.66458,57.81526,49.5139,4/25/2018 18:19
Donald Trump,Voters,4/24/2018,41.7774,46.24668,37.30811,53.26458,57.03896,49.4902,4/24/2018 14:45
Donald Trump,Adults,4/24/2018,39.47373,42.96815,35.9793,54.63929,58.49807,50.78052,4/24/2018 14:45
Donald Trump,All polls,4/24/2018,40.34375,44.89376,35.79375,53.9503,58.07297,49.82763,4/24/2018 14:45
Donald Trump,Voters,4/23/2018,41.86631,46.51498,37.21763,53.56692,57.54694,49.58689,4/23/2018 13:08
Donald Trump,Adults,4/23/2018,39.19358,42.56982,35.81734,55.05031,59.06256,51.03806,4/23/2018 13:08
Donald Trump,All polls,4/23/2018,40.16019,44.8392,35.48119,54.26084,58.52941,49.99227,4/23/2018 13:08
Donald Trump,Voters,4/22/2018,41.86242,46.42995,37.29489,53.66699,57.5411,49.79288,4/23/2018 9:40
Donald Trump,All polls,4/22/2018,40.28197,44.93927,35.62468,54.28614,58.5733,49.99897,4/23/2018 9:38
Donald Trump,Adults,4/22/2018,39.2908,42.70022,35.88139,55.13512,59.30345,50.96679,4/23/2018 9:39
Donald Trump,Adults,4/21/2018,39.2908,42.70022,35.88139,55.13512,59.30345,50.96679,4/23/2018 9:39
Donald Trump,Voters,4/21/2018,41.86242,46.42995,37.29489,53.66699,57.5411,49.79288,4/23/2018 9:40
Donald Trump,All polls,4/21/2018,40.28197,44.93927,35.62468,54.28614,58.5733,49.99897,4/23/2018 9:39
Donald Trump,Voters,4/20/2018,41.86242,46.42995,37.29489,53.66699,57.5411,49.79288,4/20/2018 15:15
Donald Trump,Adults,4/20/2018,39.2908,42.70022,35.88139,55.13512,59.30345,50.96679,4/20/2018 15:15
Donald Trump,All polls,4/20/2018,40.28197,44.93927,35.62468,54.28614,58.5733,49.99897,4/20/2018 15:15
Donald Trump,Adults,4/19/2018,39.19129,42.71645,35.66613,55.07352,59.17282,50.97423,4/19/2018 12:41
Donald Trump,Voters,4/19/2018,41.80221,46.32044,37.28399,53.76617,57.62116,49.91118,4/19/2018 12:41
